Time (s),Total Torch(N.m)
[1007.0],167.6178774805622
[1008.0],164.94117631314532
[1009.0],187.2738989067084
[1010.0],185.1970250764708
[1011.0],181.26300574821389
[1012.0],178.63394183927417
[1013.0],175.78742310832536
[1014.0],173.69839169971704
[1015.0],171.34019718690917
[1016.0],169.68282929741375
[1017.0],167.7195405762303
[1018.0],166.32885851599485
[1019.0],180.12882151075553
[1020.0],172.40889863892636
[1021.0],170.38181041031217
[1022.0],167.03060983648797
[1023.0],166.31057043984686
[1024.0],163.90178854703774
[1025.0],163.29586698475396
[1026.0],161.774737587188
[1027.0],161.08678278036112
[1028.0],159.8530655089662
[1029.0],174.79934988076633
[1030.0],169.0835318446617
[1031.0],167.3117286279799
[1032.0],165.4249290673461
[1033.0],164.15386103000205
[1034.0],162.8710252289144
[1035.0],161.83195878393883
[1036.0],160.7681931227766
[1037.0],159.83350545271477
[1038.0],158.8785345558925
[1039.0],150.95566816855816
[1040.0],149.04982144071198
[1041.0],148.14822593080217
[1042.0],147.67723245458478
[1043.0],146.96172279145006
[1044.0],146.55592567443756
[1045.0],145.92807313313193
[1046.0],145.49422874618568
[1047.0],144.92604576197874
[1048.0],144.4769308702025
[1049.0],147.18556048869704
[1050.0],147.05244380237687
[1051.0],146.04307384565305
[1052.0],145.87242791365824
[1053.0],144.97240726689392
[1054.0],144.64316525438656
[1055.0],143.87241154521234
[1056.0],143.4578291217561
[1057.0],142.77834875765188
[1058.0],142.32008125799442
[1059.0],141.26772268164527
[1060.0],141.37146607744637
[1061.0],140.35219946183184
[1062.0],140.12695619581035
